"","zip","Entertainment ($000), 2017","% Black Population, 2017","% Asian Population, 2017","Social, recreation, health club membership ($000), 2017","Prescription drugs ($000), 2017","Healthcare ($000), 2017","suicides","city","state","latitude","longitude"
"135","93257",63174.9,1.2463,4.8081,3624.9,5735.6,97022,90,"Porterville","CA",36.055121,-119.01595
"136","90731",63153,7.2187,5.5921,3920.2,5366.1,92186.4,71,"San Pedro","CA",33.732368,-118.28905
"137","92509",62977.3,3.8953,3.123,3809.9,5420.9,93911.8,83,"Riverside","CA",33.998751,-117.44695
"138","95037",62839.4,2.003,12.2475,5052,4348.6,80798.7,49,"Morgan Hill","CA",37.137595,-121.66211
"139","92101",62806.6,9.6068,8.5626,4266,4764.1,85075,116,"San Diego","CA",32.719601,-117.16246
"140","93309",62659.3,11.1726,4.8332,3764.3,5367.3,92500,76,"Bakersfield","CA",35.340759,-119.06497
"141","95120",62612.5,1.0614,33.8937,5653.6,3735.7,75284,40,"San Jose","CA",37.213624,-121.85671
"142","94591",62588.9,17.6721,34.6626,4242.7,4423,86262.7,65,"Vallejo","CA",38.099119,-122.21035
"143","92020",62588.6,6.6143,4.7433,3949.4,5307.8,91204.1,95,"El Cajon","CA",32.7991,-116.97334
"144","93274",62497,3.9519,2.319,3715.1,5456.2,93717.4,67,"Tulare","CA",36.201451,-119.34994
"145","94115",62466.5,12.1334,21.2218,4823.1,4172.1,79260.3,42,"San Francisco","CA",37.786129,-122.43736
"146","90266",62416.5,0.9894,9.3242,5673,3913.1,73557.4,28,"Manhattan Beach","CA",33.88898,-118.40535
"147","95670",62360.2,8.9135,12.7876,4003.2,5147.9,90348.1,76,"Rancho Cordova","CA",38.605355,-121.28247
"148","94546",62283.6,6.1914,19.9861,4579.8,4640.2,84527,60,"Castro Valley","CA",37.702063,-122.07934
"149","91360",62270.4,1.2624,6.5953,5013.3,4641.9,80904.5,65,"Thousand Oaks","CA",34.208837,-118.87348
"150","94123",62178.8,0.7826,12.5954,5467.8,3656.4,71947.9,27,"San Francisco","CA",37.801028,-122.43836
"151","94541",61891.3,14.0437,16.4951,3780.8,4868.2,89485.1,86,"Hayward","CA",37.674431,-122.08883
"152","92870",61775.5,2.0766,17.635,4524.8,4540.2,83505.9,51,"Placentia","CA",33.883314,-117.85446
"153","90630",61701.4,3.1864,34.4617,4454.3,4381.1,84681.9,50,"Cypress","CA",33.817481,-118.0399
"154","90503",61174.3,2.4667,42.1694,4445.1,4230.1,83568.6,55,"Torrance","CA",33.840264,-118.35587
"155","92154",61040.4,5.7815,14.8899,3695.7,5089.4,91290.8,59,"San Diego","CA",32.574398,-117.05633
"156","91744",61022.1,1.7584,11.0364,3606.4,5239.4,92963.3,50,"La Puente","CA",34.029561,-117.93975
"157","95678",60663.3,2.0718,8.8367,4091.2,4722.3,84506.1,61,"Roseville","CA",38.752434,-121.28933
"158","92253",60471.8,1.9121,3.4849,4524.9,4952.3,83363.1,52,"La Quinta","CA",33.675373,-116.29649
"159","93010",60250.3,1.991,8.0599,4614.2,4620.3,80471,61,"Camarillo","CA",34.231754,-119.05258
"160","95831",60114.8,13.6562,31.7663,4076.6,4468.5,84253.1,61,"Sacramento","CA",38.494971,-121.53059
