Name,FIPS,"Entertainment ($000), 2017","% Black Population, 2017","% Asian Population, 2017","Social, recreation, health club membership ($000), 2017","Prescription drugs ($000), 2017","Healthcare ($000), 2017"
"92672, San Clemente, CA",92672,53080.1,0.6681,3.6516,4098.3,4030,70384.5
"95050, Santa Clara, CA",95050,52879.7,3.3878,29.9036,3811.3,3610,70822.1
"91706, Baldwin Park, CA",91706,52858,1.2041,15.7045,3146.4,4461.6,80598.3
"92805, Anaheim, CA",92805,52747.8,1.8888,8.6452,3164.7,4288.9,77982.7
"92111, San Diego, CA",92111,52718.2,6.1379,20.9742,3345,4283.3,76855.6
"94534, Fairfield, CA",94534,52583.9,10.6064,21.4213,3991.4,3559.4,68206.5
"94806, San Pablo, CA",94806,52562.7,19.1844,19.8968,3042.7,4202.4,77861.2
"91343, North Hills, CA",91343,52442.6,4.3617,15.5932,3396.3,4137.1,75323.9
"92544, Hemet, CA",92544,52342.5,4.1485,2.5395,3252,4835.3,79048
"91701, Rancho Cucamonga, CA",91701,52323.5,6.1036,8.9014,3840.5,3932.2,70309.3
"90660, Pico Rivera, CA",90660,52239.3,0.9614,3.1061,3195.4,4717.8,79180.5
"94588, Pleasanton, CA",94588,52033.9,1.9411,33.6058,4411.6,3068.9,63310.9
"92223, Beaumont, CA",92223,51921,5.6775,7.7809,3390.4,4305,74939.8
"91786, Upland, CA",91786,51895.1,9.0038,8.2115,3231.7,4265.6,75206.1
"90045, Los Angeles, CA",90045,51831.6,13.7946,13.0168,3898.6,3641.2,67334.1
"91604, Studio City, CA",91604,51826.2,4.26,7.6773,4165,3545.1,65111.8
"94954, Petaluma, CA",94954,51799.7,2.1459,6.5639,3762.8,4045,70737.3
"90292, Marina Del Rey, CA",90292,51752.9,4.726,10.821,4277.9,3385.5,63095.3
"94549, Lafayette, CA",94549,51736.1,0.9557,11.1743,4671.7,3412.2,62545.8
"90403, Santa Monica, CA",90403,51607.8,1.8238,9.3921,4073.5,3664.7,65838.5
"91423, Sherman Oaks, CA",91423,51403.5,5.24,7.244,3902.6,3706.3,67059.5
"90802, Long Beach, CA",90802,51376.9,16.6771,9.5353,3036.4,4157.1,73905.9
"94928, Rohnert Park, CA",94928,51331.6,2.5501,6.2451,3377.9,4164.9,72595
"91355, Valencia, CA",91355,51142.7,2.7138,12.1147,3947.3,3589,65977.6
"95032, Los Gatos, CA",95032,51135.6,1.0013,15.069,4564.7,3329.5,62031
"94952, Petaluma, CA",94952,50908.4,1.3771,2.6786,3802,4015.3,68874.3
"94560, Newark, CA",94560,50895.2,4.493,31.8321,3607.4,3497.9,69286.8
"91311, Chatsworth, CA",91311,50835.2,4.1636,17.741,3752.9,3835.8,68987.7
"95765, Rocklin, CA",95765,50644.9,1.8372,11.9796,3766.5,3519.9,66309.9
"91762, Ontario, CA",91762,50604.4,5.135,6.16,3073.6,4228.6,74529
"94062, Redwood City, CA",94062,50256.7,1.0965,8.9478,4435.8,3390.3,61793.5
"94061, Redwood City, CA",94061,50144.3,2.0389,9.1537,3787.4,3706.6,66821.3
"90255, Huntington Park, CA",90255,50131.4,0.8438,0.9447,2707.7,4631.7,78460.1
"95621, Citrus Heights, CA",95621,50130.6,3.5562,4.7196,3106.7,4416.6,74458.2
"94598, Walnut Creek, CA",94598,50004.9,1.2414,18.1741,4290,3397.7,62373.1
